Month,Sales,Direct Costs,Labour Cost,Occupancy Cost,Other Operating Costs
2025-01,85000,51000,26000,9500,7000
2025-02,83000,49800,26000,9500,7050
2025-03,81000,48600,25900,9500,7100
2025-04,79000,47400,25800,9500,7150
2025-05,76000,45600,25700,9500,7200
2025-06,73000,43800,25600,9500,7250
2025-07,70000,42000,25500,9600,7300
2025-08,68000,40800,25400,9600,7350
2025-09,66000,39600,25300,9600,7400
2025-10,64000,38400,25200,9600,7450
2025-11,62000,37200,25100,9600,7500
2025-12,60000,36000,25000,9600,7550
