Month,Sales,Direct Costs,Labour Cost,Occupancy Cost,Other Operating Costs
2025-01,82000,28700,23000,8500,6500
2025-02,84000,29400,23200,8500,6600
2025-03,86000,30100,23400,8500,6700
2025-04,88000,30800,23600,8500,6800
2025-05,90000,31500,23800,8500,6900
2025-06,92000,32200,24000,8500,7000
2025-07,95000,33250,24400,8700,7150
2025-08,97000,33950,24600,8700,7250
2025-09,99000,34650,24800,8700,7350
2025-10,101000,35350,25000,8700,7450
2025-11,103000,36050,25200,8700,7550
2025-12,105000,36750,25400,8700,7650
