Month,Revenue,COGS,Payroll,Rent,Marketing,Other Expenses
2025-01,85000,34000,26000,8000,6000,7000
2025-02,88000,35200,26250,8000,6200,7100
2025-03,91000,36400,26500,8000,6500,7200
2025-04,87000,34800,26750,8000,6100,7300
2025-05,94000,37600,27000,8000,6900,7400
2025-06,98000,39200,27250,8000,7200,7500
2025-07,101000,40400,27500,8200,7600,7600
2025-08,104000,41600,27750,8200,7800,7700
2025-09,108000,43200,28000,8200,8100,7800
2025-10,112000,44800,28250,8200,8400,7900
2025-11,116000,46400,28500,8200,8700,8000
2025-12,121000,48400,28750,8200,9100,8100
