Month,Sales,Direct Costs,Labour Cost,Occupancy Cost,Other Operating Costs
2025-01,78000,35100,23500,9000,6200
2025-02,77500,34875,23800,9000,6300
2025-03,77000,34650,24100,9000,6400
2025-04,76500,34425,24400,9000,6500
2025-05,76000,34200,24700,9000,6600
2025-06,75500,33975,25000,9000,6700
2025-07,75000,33750,25300,9200,6800
2025-08,74500,33525,25600,9200,6900
2025-09,74000,33300,25900,9200,7000
2025-10,73500,33075,26200,9200,7100
2025-11,73000,32850,26500,9200,7200
2025-12,72500,32625,26800,9200,7300
